"1","14.658064","120.983991","Caloocan","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"2","14.444546","120.993874","Las Pinas","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"3","14.554729","121.024445","Makati","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"4","14.6625","120.956667","Malabon","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"5","14.579444","121.035917","Mandaluyong","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"6","14.599512","120.98422","Manila","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"7","14.65073","121.102855","Marikina","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"8","14.408133","121.041467","Muntinlupa","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"9","14.67149","120.939847","Navotas","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"10","14.47931","121.019823","Paranaque","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"11","14.537752","121.001379","Pasay","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"12","14.576377","121.08511","Pasig","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"13","14.676041","121.0437","Quezon City","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"14","14.599415","121.036889","San Juan","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"15","14.517618","121.050864","Taguig","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"16","14.701056","120.983023","Valenzuela","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"17","14.5475","121.069444","Pateros","Metro Manila","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"24","7.010607","125.091134","Kidapawan City","Cotabato","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"25","7.333333","124.566667","Alamada","Cotabato","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"26","7.188938","124.630337","Aleosan","Cotabato","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"27","7.250403","125.055797","Antipas","Cotabato","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"28","7.353767","125.147445","Arakan","Cotabato","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
